site,Plot ID,Plot ID_input,Plant ID,Plant No. in plot,Leaf No. (n),"Leaf Length, L(n), >2.5cm","L(n+1), <2.5cm",Leaf No. (n),"Leaf Length, L(n), >2.5cm","L(n+1), <2.5cm",Leaf No. (n),"Leaf Length, L(n), >2.5cm","L(n+1), <2.5cm",PIT1,PIT2,PIT3,Planting Date,T1 Date,T2Date,T3Date,T1 (DAP),T2(DAP),T3(DAP)
1,48,,P2,,2,7.6,2.3,3,6.3,0.5,3,12.5,0.9,2.930238555,3.364786701,3.611700256,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,48,,P3,,2,5.2,1.9,3,3.5,0.5,3,11,0.3,2.727418004,3.172912525,3.411343367,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,49,49,P1,,2,6,1.7,3,6.3,2,4,6.2,1.8,2.694193217,3.805522857,4.734383899,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,49,,P2,,2,7.5,2,3,8,2.3,4,7,2.4,2.831176421,3.933109153,4.961864336,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,49,,P3,,2,5,1.6,3,5.6,1.2,4,4.7,1.5,2.60832572,3.523534332,4.552730246,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,50,50,P1,,2,3.5,0.8,3,2.8,0.8,3,10.3,2.1,2.227976658,3.090462991,3.890358025,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,50,,P2,,2,9.8,2,3,9.7,2.3,4,7.9,2.1,2.859590606,3.942064593,4.86840513,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,50,,P3,,2,5.5,1.1,3,4.6,1.5,4,4.1,1.2,2.489896102,3.544146317,4.40262893,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,51,51,P1,,2,6,2,4,3,1.5,5,3.2,0.9,2.796885986,4.263034406,5.194606128,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,51,,P2,,2,5,1.7,3,7.2,2.1,4,8.2,2.4,2.642511098,3.858495896,4.966775337,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,51,,P3,,2,6.4,1.3,3,5.7,1,4,4.1,1.2,2.589740491,3.473537179,4.40262893,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,52,52,P1,,2,8,2,3,7.1,1.7,4,6.1,1.9,2.839035953,3.73020531,4.764721675,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,52,,P2,,2,3.5,0.8,3,2.7,0.9,3,8.5,2.2,2.227976658,3.070052959,3.905421324,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
