HNO,plot,DWTOTALLEAF,DWMSL,DWBL,TOTALSTEM,DWAP,DWGP,DWPOD,DWMP,WHOLE
9,59,,,14.62,25.75,21.44,,9.4,,
11,60,,0,.,57.5,7,,65.71,,
1,60,,0.1062,*,0.0135,,,,,
5,60,,5.299,9.708,7.579,,,0.273,,
6,60,,4.776,18.13,13.14,,4.825,,,
7,60,,6.42,30.84,16.38,,,10.472,,
8,60,,4.445,37.763,27.08,,,7.283,,
11,61,,,0,16.43,4.759,0,,34.345,
1,61,,0.0602,*,0.0097,,,,,
2,61,,0.3242,*,0.0544,,,,,
3,61,,0.859,0.02,0.234,,,,,
4,61,,1.3571,0.4151,0.5873,,,,,
5,61,,3.393,4.985,4.515,,,,,
6,61,,4.113,12.328,10.956,,,1.98,,
7,61,,2.55,15.53,12.24,,,4.374,,
8,61,,,,21.89,,,,,
8,61,,5.413,19.05,,,,13.296,,
11,62,,,8.926,59.5,15.01,0,,14.157,
1,62,,0.2819,*,0.0552,,,,,
2,62,,0.8214,,0.1504,,,,,
3,62,,2.192,0.072,0.667,,,,,
4,62,,3.203,0.7142,1.5269,,,,,
5,62,,3.441,5.013,5.12,,,,,
6,62,,4.025,5.6003,6.095,,,0.346,,
7,62,,3.955,17.32,17.08,,,2.086,,
8,62,,2.83,22.59,36.99,,,2.889,,
11,63,,0,0,28.61,10.44,0.084,7.974,,
11,64,,,2.51,25.13,2.48,2.87,,93.12,
1,64,,0.2227,*,0.039,,,,,
10,64,,2,11.34,36.05,1.38,,63.41,,
10,64,,,14.21,28.53,4.359,,42.31,,
2,64,,1.0154,0.0536,0.2453,,,,,
3,64,,2.384,0.809,1.007,,,,,
4,64,,3.206,1.907,1.913,,,,,
5,64,,6.202,9.676,11.863,,,,,
6,64,,6.133,13.91,19.52,,,0.496,,
7,64,,5.6,10.57,15.74,,,3.851,,
8,64,,7.116,22.28,40.11,,,44.04,,
11,65,,,9.78,46.31,2.77,22.09,,,
1,65,,0.2876,*,0.4,,,,,
10,65,,,43.57,72.95,0,,,46.33,
2,65,,0.983,0.00107,0.2085,,,,,
3,65,,3.96,0.98,1.55,,,,,
4,65,,3.3639,6.5888,5.1923,,,,,
5,65,,4.196,9.967,9.526,,,,,
6,65,,4.453,18.099,17.306,,,1.989,,
7,65,,4.543,35.65,37.64,,,8.382,,
8,65,,4.4,24.6,27.44,,,9.82,,
9,65,,0,29.81,47.3,0.522,,10.601,,
11,66,,,5.94,39.22,3.252,0.998,,13.379,
1,66,,0.169,*,0.0253,,,,,
10,66,,,34.44,25.59,0,,31.256,,
2,66,,0.7945,0.0122,0.1305,,,,,
3,66,,1.883,0.073,0.417,,,,,
5,66,,4.883,14.389,10.033,,,,,
6,66,,7.932,13.39,9.49,,,,,
7,66,,7.69,13.68,11.98,,,1.003,,
8,66,,2.977,13.76,14.67,,,0.272,,
11,67,,,1.714,30.71,2.551,0.135,25.582,,
1,67,,0.1709,*,0.0277,,,,,
10,67,,,24.14,44.83,2.858,,14.331,,
2,67,,0.4261,,0.0678,,,,,
3,67,,0.488,0.342,0.244,,,,,
5,67,,1.795,2.331,1.742,,,,,
6,67,,1.905,9.76,7.188,,,0.0068,,
7,67,,1.46,19.77,21.3,,,5.85,,
8,67,,4.81,20.409,20.158,,,6.57,,
11,68,,,0.16,43.41,15.056,0.108,18.052,,
1,68,,0.0578,,,,,,,
1,68,,,,0.0116,,,,,
10,68,,0,23.21,41.67,21.47,,0.186,,
