"","site","geno","DAP","PI"
"455",1,"RIJC251",22.5,2.85472486666667
"456",2,"RIJC251",24,4.0027525355
"457",1,"RIJC254",22,2.85812722
"458",2,"RIJC254",24,5.103776823
"459",1,"RIJC255",22.5,3.94304429833333
"460",2,"RIJC255",24,4.70502304683333
"461",1,"RIJC260",22,3.72295242266667
"462",2,"RIJC260",24,4.7056733265
"463",1,"RIJC261",22.5,3.33239482583333
"464",2,"RIJC261",24,4.638702438
"465",1,"RIJC262",22.5,3.828230049
"466",2,"RIJC262",24,4.188736361
"467",1,"RIJC264",22.5,4.31102836433333
"468",2,"RIJC264",24,5.630783109
"469",1,"RIJC302",22.5,3.58862411066667
"470",2,"RIJC302",24,5.23897227
"471",1,"RIJC313",22,3.77899405883333
"472",2,"RIJC313",24,5.282211917
"473",1,"RIJC314",22,3.02435608083333
"474",2,"RIJC314",24,5.29170770966667
"475",1,"RIJC316",22.5,4.80150543133333
"476",2,"RIJC316",24,5.29540161866667
"477",1,"RIJC319",22,3.926274213
"478",2,"RIJC319",24,6.12500792416667
"479",1,"RIJC324",22.5,3.3124469905
"480",2,"RIJC324",24,3.49085753333333
"481",1,"RIJC326",22,3.289611753
"482",2,"RIJC326",24,4.96737242766667
"483",1,"RIJC327",22.5,3.67546236983333
"484",2,"RIJC327",24,4.289182276
"485",1,"RIJC330",22.5,4.10876001533333
"486",2,"RIJC330",24,5.535977504
"487",1,"RIJC331",22.5,4.00591294883333
"488",2,"RIJC331",24,4.923262123
"489",1,"RIJC334",22.5,3.79523657466667
"490",2,"RIJC334",24,5.29523578283333
"491",1,"RIJC335",22.5,3.43641309533333
"492",2,"RIJC335",24,4.68121073616667
"493",1,"RIJC337",22.5,3.69421340166667
"494",2,"RIJC337",24,4.61242258016667
"495",1,"RIJC344",22.5,3.62292625716667
"496",2,"RIJC344",24,4.76732262633333
"497",1,"RIJC347",22,3.86035824383333
"498",2,"RIJC347",24,5.12593003933333
"499",1,"RIJC348",22,3.288332133
"500",2,"RIJC348",24,4.065995846
"501",1,"RIJC352",22,2.726262101
"502",2,"RIJC352",24,5.52209147716667
"503",1,"RIJC355",22.5,3.04891638116667
"504",2,"RIJC355",24,3.17837919716667
"505",1,"RIJC361",22.5,3.34344054433333
"506",2,"RIJC361",24,3.84436002566667
"507",1,"RIJC363",22.5,4.19057870483333
"508",2,"RIJC363",24,5.22783166983333
"510",2,"RIJC364",24,3.66783756833333
"511",1,"RIJC367",22.5,3.64685786083333
"512",2,"RIJC367",24,4.72255736916667
"513",1,"RIJC368",22,3.75123245616667
"514",2,"RIJC368",24,3.73040589833333
"516",2,"RIJC370",24,3.67132794316667
"517",1,"RIJC372",22,3.40843113716667
"518",2,"RIJC372",24,4.4336165225
"519",1,"RIJC373",22,3.7172781745
"520",2,"RIJC373",24,5.0467715032
"521",1,"RIJC374",22,3.1033086205
"522",2,"RIJC374",24,5.17455258066667
"525",1,"Tepary22",18,3.47276154433333
"526",2,"Tepary22",24,8.80739588433333
"527",1,"Tepary32",18,3.312004576
"528",2,"Tepary32",24,7.6883728555
"529",1,"TM1",22,4.01413890283333
"530",2,"TM1",24,5.4779694825
"531",1,"TM10",22.5,4.7205434485
"532",2,"TM10",24,5.03433504533333
"533",1,"TM2",22.5,4.48592751
"534",2,"TM2",24,5.62302181133333
"535",1,"TM3",22,3.98135206
"536",2,"TM3",24,5.105211294
"537",1,"TM4",22,4.39282774466667
"538",2,"TM4",24,5.5315096185
"539",1,"TM5",22.5,3.86500460233333
"540",2,"TM5",24,5.04686235666667
"541",1,"TM6",22.5,4.042719503
"542",2,"TM6",24,4.72270870316667
"543",1,"TM7",22,3.64293506
"544",2,"TM7",24,5.75820835033333
"545",1,"TM8",22.5,3.1548286445
"546",2,"TM8",24,5.09947632533333
"547",1,"TM9",22,4.3263674505
"548",2,"TM9",24,5.265441375
"549",1,"VAX1",18,2.236723412
"550",2,"VAX1",24,4.99892578983333
"551",1,"Vista",18,2.32058158816667
"552",2,"Vista",24,5.6554370385
"553",1,"AC compass",21,3.08036225383333
"554",2,"AC compass",28,6.44506793283333
"555",1,"Avalanche",21,2.94495025483333
"556",2,"Avalanche",28,7.753675988
"557",1,"CAL",25,4.59061557816667
"558",2,"CAL",28,6.66794714009091
"559",1,"CDCWM2",21,3.75882977833333
"560",2,"CDCWM2",28,7.24350417783333
"561",1,"Centa Pupil",21,3.56566263716667
"562",2,"Centa Pupil",28,5.45231340966667
"563",1,"Envoy",21,4.28538616266667
"564",2,"Envoy",28,7.20711889716667
"565",1,"Expresso",21,3.32166034283333
"566",2,"Expressso",28,5.91568944216667
"567",1,"JAM",25.25,4.19572697633333
"568",2,"JAM",28,5.22433755463636
"571",1,"Lightning",21,2.856162651
"572",2,"Lightning",28,6.01023624066667
"573",1,"Nautica",21,2.73270611383333
"574",2,"Nautica",29,4.04834734233333
"575",1,"Navigator",21,2.84822925233333
"576",2,"Navigator",28,6.53358747883333
"577",1,"OACRex",21,2.47293047533333
"578",2,"OACRex",28,5.57714772183333
"581",1,"Portage",21,3.34237082533333
"582",2,"Portage",28,6.722924922
"583",1,"Pv230",21,2.90851804266667
"584",2,"Pv230",28,6.47596633566667
"585",1,"Pv239",21,3.91888723666667
"586",2,"Pv239",28,9.14183384266667
"587",1,"RIJC001",25,3.93273555083333
"588",2,"RIJC001",28,5.828106741
"589",1,"RIJC002",25,4.006420024
"590",2,"RIJC002",28,5.86889424433333
"591",1,"RIJC003",25.5,4.64719986416667
"592",2,"RIJC003",28,5.128423193
"593",1,"RIJC004",25,3.95753843133333
"594",2,"RIJC004",28,5.0288519826
"595",1,"RIJC005",25,3.97077448166667
"596",2,"RIJC005",28,5.77541789783333
"597",1,"RIJC015",25.5,4.012910776
"598",2,"RIJC015",28,5.74031484883333
"599",1,"RIJC016",25,4.5358236785
"600",2,"RIJC016",28,5.3339865202
"601",1,"RIJC017",25.5,4.16701946533333
"602",2,"RIJC017",28,5.49276789016667
"603",1,"RIJC018",25,4.137320534
"604",2,"RIJC018",28,5.333599121
"605",1,"RIJC019",26,3.29175414333333
"606",2,"RIJC019",28,3.81225260016667
"607",1,"RIJC020",25.5,6.19653486183333
"608",2,"RIJC020",28,7.77982886883333
"609",1,"RIJC021",25,3.66514086833333
"610",2,"RIJC021",28,5.74576570583333
"611",1,"RIJC025",25.5,4.40841826516667
"612",2,"RIJC025",28,5.7983682965
"613",1,"RIJC027",25,4.81128478466667
"614",2,"RIJC027",28,6.88471141966667
"615",1,"RIJC030",25.5,4.263419569
"616",2,"RIJC030",28,5.71741788683333
"617",1,"RIJC035",25.5,4.49472887416667
"618",2,"RIJC035",28,6.0490806966
"619",1,"RIJC045",25,5.4933268545
"620",2,"RIJC045",28,4.6037207828
"621",1,"RIJC046",25,4.59010071033333
"622",2,"RIJC046",28,6.12800976183333
"623",1,"RIJC047",25,4.34409527233333
"624",2,"RIJC047",28,6.29522527033333
"625",1,"RIJC048",25,4.303027449
"626",2,"RIJC048",28,7.10279272783333
"627",1,"RIJC049",25,4.12296582983333
"628",2,"RIJC049",28,4.97746339733333
"629",1,"RIJC059",25.5,4.995040661
"630",2,"RIJC059",28,7.17838248916667
"631",1,"RIJC065",25,5.675295511
"632",2,"RIJC065",28,6.8215607345
"633",1,"RIJC066",25,4.07446669783333
"634",2,"RIJC066",28,7.08747402683333
"635",1,"RIJC069",25,5.59192796183333
"636",2,"RIJC069",28,7.0855501855
"637",1,"RIJC070",25,4.10798201583333
"638",2,"RIJC070",28,5.0336999545
"639",1,"RIJC071",25,4.379600061
"640",2,"RIJC071",28,5.6552933585
"641",1,"RIJC073",25,5.49840652716667
"642",2,"RIJC073",28,6.9740351355
"643",1,"RIJC074",25.5,4.86120060116667
"644",2,"RIJC074",28,5.4443872272
"645",1,"RIJC076",25,3.63444061816667
"646",2,"RIJC076",28,5.54428461916667
"647",1,"RIJC078",25,3.67524828033333
"648",2,"RIJC078",28,6.09313560666667
"649",1,"RIJC079",25.5,4.60257110183333
"650",2,"RIJC079",28,4.97507139133333
"651",1,"RIJC080",25,3.850985833
"652",2,"RIJC080",28,6.76166935366667
"653",1,"RIJC081",26,3.39754622366667
"654",2,"RIJC081",28,6.013439946
"655",1,"RIJC082",25,4.58043877133333
"656",2,"RIJC082",28,7.79197944416667
"657",1,"RIJC136",25.5,4.70395151966667
"658",2,"RIJC136",28,5.38520881933333
"659",1,"RIJC138",25.5,4.60562513866667
"660",2,"RIJC138",28,5.71654591966667
"661",1,"RIJC139",25.5,4.48151718783333
"662",2,"RIJC139",28,6.82539024133333
"663",1,"RIJC140",25,3.67576453266667
