HNO,plot,Code,cm^2,STDEV,Perimeter,Circ,,Round,Solidity,Lengths (cm) or Major,Minor,Angle,Length 2 cm
H4,446,B6,140.469,,92.819,,,,,15.419,11.599,35.312,
H4,446,B7,184.359,,115.447,,,,,17.796,13.19,176.582,
H4,446,B8,66.379,,65.471,,,,,9.565,8.836,170.964,
H4,446,B9,21.967,,33.678,,,,,5.736,4.876,118.799,
H4,446,B10,134.42,,86.438,,,,,14.656,11.678,120.139,
H4,446,B11,28.719,,42.828,,,,,6.578,5.559,178.788,
H4,446,B12,70.068,,70.794,,,,,12.373,7.21,105.724,
H4,446,B13,140.454,,92.966,,,,,15.274,11.708,100.972,
H4,446,B14,72.954,,57,,,,,14.806,6.274,39.73,
H4,446,B15,39.609,,45.749,,,,,11.105,4.541,21.75,
H4,446,B16,142.152,,75.24,,,,,14.243,12.708,107.548,
H4,446,B17,7.665,,20.451,,,,,3.281,2.975,28.978,
H4,446,B18,61.248,,62.188,,,,,10.383,7.511,74.841,
H4,446,B19,36.407,,52.572,,,,,7.663,6.049,146.497,
H4,446,B20,193.24,,83.817,,,,,16.443,14.963,112.538,
H4,446,B21,159.618,,77.86,,,,,16.064,12.651,18.397,
H4,446,B22,109.535,,72.229,,,,,12.569,11.096,13.369,
H4,446,B23,22.379,,39.526,,,,,6.484,4.395,128.844,
H4,446,B24,98.193,,80.972,,,,,12.673,9.865,174.411,
H4,446,B25,13.659,,27.556,,,,,5.394,3.224,97.328,
H4,446,B26,25.893,,32.341,,,,,6.184,5.332,119.402,
H4,446,B27,132.94,,76.073,,,,,14.902,11.358,91.265,
H4,446,B28,155.075,,97.179,,,,,15.332,12.878,94.556,
H4,446,STEM AREA,294.327,,348.577,,,,,28.217,13.281,96.523,
H5,446,V1,178.313,,108.695,,,,,16.904,13.431,54.445,
H5,446,V2,241.275,,118.164,,,,,20.537,14.958,112.728,
H5,446,V3,150.987,,98.006,,,,,16.773,11.462,140.462,
H5,446,V4,127.32,,88.126,,,,,14.818,10.94,49.004,
H5,446,V5,128.722,,71.204,,,,,13.021,12.586,123.549,
